[2016-07-31 14:06:09] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_bmg_customer_grid_flat_4"},"is_exception":false} []
[2016-07-31 14:06:11] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["catalog_category","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:06:11] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["catalog_product","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:06:11] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["BLOCK_HTML","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:06:11] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["catalog_category","catalog_product","BLOCK_HTML"],"mode":"matchingAnyTag"},"is_exception":false} []
[2016-07-31 14:06:12] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_bmg_catalogsearch_fulltext_scope1_1"},"is_exception":false} []
[2016-07-31 14:06:12] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_bmg_catalogsearch_fulltext_scope1_2"},"is_exception":false} []
[2016-07-31 14:06:12] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_bmg_catalogsearch_fulltext_scope1_3"},"is_exception":false} []
[2016-07-31 14:06:12] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_bmg_catalogsearch_fulltext_scope1_4"},"is_exception":false} []
[2016-07-31 14:06:12] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_bmg_catalogsearch_fulltext_scope1_1"},"is_exception":false} []
[2016-07-31 14:06:12] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_bmg_catalogsearch_fulltext_scope1_2"},"is_exception":false} []
[2016-07-31 14:06:12] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_bmg_catalogsearch_fulltext_scope1_3"},"is_exception":false} []
[2016-07-31 14:06:12] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_bmg_catalogsearch_fulltext_scope1_4"},"is_exception":false} []
[2016-07-31 14:06:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/category/save/key/4ced6a7454a0baf5daf4ae8ecbc607d006838a9d9e3ccb9d574d83dcb5dabd01/","invalidateInfo":{"tags":["catalog_category"],"mode":"matchingAnyTag"},"is_exception":false} []
[2016-07-31 14:06:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/category/save/key/4ced6a7454a0baf5daf4ae8ecbc607d006838a9d9e3ccb9d574d83dcb5dabd01/","invalidateInfo":{"tags":["catalog_category_12","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:06:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/category/save/key/4ced6a7454a0baf5daf4ae8ecbc607d006838a9d9e3ccb9d574d83dcb5dabd01/","invalidateInfo":{"tags":["catalog_category","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:06:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/category/save/key/4ced6a7454a0baf5daf4ae8ecbc607d006838a9d9e3ccb9d574d83dcb5dabd01/","invalidateInfo":{"tags":["catalog_category_product_12","FPC"],"mode":"matchingTag"},"is_exception":false} []
